Lab	Analyte	rep1	rep2	rep3	rep4	rep5	rep6	rep7
Metropolitan	NDBA	0.8007	0.8484	0.826	1.0357	0.8468	0.8027	
Metropolitan	NDEA	0.7641	0.798	0.7539	1.0088	0.7593	0.7339	
Metropolitan	NDMA	0.6953	0.7293	0.6545	0.9064	0.6535	0.6401	
Metropolitan	NDPA	0.7675	0.8193	0.7815	1.0206	0.8086	0.7589	
Metropolitan	NMEA	0.7597	0.8259	0.7841	1.05	0.778	0.7628	
Metropolitan	NMOR	0.8535	0.8602	0.7746	1.015	0.7831	0.7483	
Metropolitan	NPIP	0.9948	1.0344	0.9766	1.2593	1.0146	0.971	
Metropolitan	NPYR	0.9905	1.0845	1.105	1.2749	1.0945	1.0511	
Orange County	NDBA	1.02162	1.00549	1.10919	1.05342			
Orange County	NDEA	0.89739	0.87926	0.92476	0.92322			
Orange County	NDMA	0.8566	0.85917	0.85036	0.86848			
Orange County	NDPA	0.94657	0.90648	1.01266	0.92853			
Orange County	NMEA	0.92237	0.90818	0.92182	0.932			
Orange County	NMOR	0.95336	0.95517	0.9706	0.98721			
Orange County	NPIP	1.01815	0.99756	1.04965	1.01739			
Orange County	NPYR	1.0151	0.98202	1.01593	1.02049			
McCampbell	NDMA	0.96428	0.92136	0.98448	0.89792	0.86424	0.91176	0.9232
McCampbell	NMEA	0.876	0.8476	0.84968	0.90708	0.92976	0.90012	0.9388
McCampbell	NDEA	0.92716	0.89664	0.983	0.91548	0.89872	0.92352	0.9164
McCampbell	NDPA	0.88312	0.85616	0.95988	0.88412	0.82656	0.99332	0.9678
McCampbell	NMOR	1.2812	1.27704	1.27448	1.25532	1.16716	1.2552	1.26108
McCampbell	NPYR	0.94308	0.93036	0.91076	0.96536	1.04456	1.01568	0.94512
McCampbell	NPIP	0.87024	0.87344	0.97924	0.8508	0.90492	0.86568	0.86564
McCampbell	NDBA	0.93848	0.86928	0.9692	1.0106	1.00504	0.93052	0.99148
Eurofins	NDBA	1.0396475	1.0954825	0.940145	1.033095			
Eurofins	NDEA	1.1189375	1.1672225	1.0483525	1.1621325			
Eurofins	NDMA	1.1727925	1.21608	1.08789	1.2354525			
Eurofins	NDPA	1.0702125	1.1258125	0.9828725	1.0837175			
Eurofins	NMEA	1.1434775	1.1843375	1.072065	1.19184			
Eurofins	NMOR	1.2335025	1.303295	1.161235	1.228615			
Eurofins	NPIP	1.1735525	1.2159	1.0888825	1.2273275			
Eurofins	NPYR	1.1657975	1.26361	1.0953	1.095585			
CDPH	NDBA	1.172	1.244	1.126	1.018			
CDPH	NDEA	0.82	0.944	0.866	0.878			
CDPH	NDMA	0.836	1.002	0.908	0.95			
CDPH	NDPA	0.896	0.996	0.918	0.88			
CDPH	NMEA	0.808	0.968	0.89	0.926			
CDPH	NMOR	0.964	1.068	0.984	0.96			
CDPH	NPIP	0.934	1.04	0.928	0.934			
CDPH	NPYR	0.88	0.95	0.908	0.934			
